Absorb	Restores the user's HP by 1/2 of the damage inflicted on the target.	Grass	20	20	100%
Acid	Has a ~10% chance to lower the target's Defense by 1 stage.	Poison	30	40	100%
Acid Armor	Raises the user's Defense by 2 stages.	Poison	40	N/A	N/A
Aeroblast	Has a high critical hit ratio.	Flying	5	100	95%
Agility	Raises the user's Speed by 2 stages.	Psychic	30	N/A	N/A
Amnesia	Raises the user's Special Defense by 2 stages.	Psychic	20	N/A	N/A
Ancientpower	Has a ~10% chance to raise all of the user's stats by 1 stage.	Rock	5	60	100%
Attract	Infatuates Pokemon of the opposite gender, even if they have a Substitute, causing a 50% chance for the target's attack to fail.	Normal	15	N/A	100%
Aurora Beam	Has a ~10% chance to lower the target's Attack by 1 stage.	Ice	20	65	100%
Barrage	Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.	Normal	20	15	85%
Barrier	Raises the user's Defense by 2 stages.	Psychic	30	N/A	N/A
Baton Pass	The user returns to its party, bypassing any trapping moves and Pursuit; it passes all stat modifiers (positive or negative), as well as confusion, Focus Energy, Perish Song count, Mist, Leech Seed, Ghost Curses, Mind Reader, Lock-On, Mean Look, Spider Web and Substitute to the replacement Pokemon. In-game, Baton Pass also passes partial trapping moves (Bind, Clamp, Fire Spin and Wrap), Foresight, Toxic if the replacement is poisoned and Nightmare if replacement is asleep.	Normal	40	N/A	N/A
Beat Up	Each healthy (i.e. not fainted nor inflicted with a status condition) Pokemon in your party contributes a typeless 10 base power hit determined solely by their base Attack and Defense stats.	Dark	10	10	100%
Belly Drum	The user maximizes its Attack but sacrifices 50% of its max HP.	Normal	10	N/A	N/A
Bide	The user absorbs all damage for 2-3 turns and then inflicts twice the absorbed damage on its target. This move ignores the target's type but still cannot hit Ghost-type Pokemon.	Normal	10	Var Dmg	100%
Bind	Traps the target for 2-5 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it uses Baton Pass.	Normal	20	15	75%
Bite	Has a ~30% chance to make the target flinch.	Dark	25	60	100%
Blizzard	Has a ~10% chance to freeze the target.	Ice	5	120	70%
Body Slam	Has a ~30% chance to paralyze the target.	Normal	15	85	100%
Bone Club	Has a ~10% chance to make the target flinch.	Ground	20	65	85%
Bone Rush	Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.	Ground	10	25	80%
Bonemerang	Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.	Ground	10	50	90%
Bubble	Has a ~10% chance to lower the target's Speed by 1 stage.	Water	30	20	100%
Bubblebeam	Has a ~10% chance to lower the target's Speed by 1 stage.	Water	20	65	100%
Charm	Lowers the target's Attack by 2 stages.	Normal	20	N/A	100%
Clamp	Traps the target for 2-5 turns, causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it uses Baton Pass.	Water	10	35	75%
Comet Punch	Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.	Normal	15	18	85%
Confuse Ray	Confuses the target.	Ghost	10	N/A	100%
Confusion	Has a ~10% chance to confuse the target.	Psychic	25	50	100%
Constrict	Has a ~10% chance to lower the target's Speed by 1 stage.	Normal	35	10	100%
Conversion	The user's type changes to match the type of one of its four attacks. This move fails if the user cannot change its type under this condition.	Normal	30	N/A	N/A
Conversion 2	The user's type changes to one that resists the type of the last attack that hit the user.	Normal	30	N/A	100%
Cotton Spore	Lowers the target's Speed by 2 stages.	Grass	40	N/A	85%
Counter	Almost always goes last; if an opponent strikes with a Physical attack before the user's turn, the user retaliates for twice the damage it had endured.	Fighting	20	Var Dmg	100%
Crabhammer	Has a high critical hit ratio.	Water	10	90	85%
Cross Chop	Has a high critical hit ratio.	Fighting	5	100	80%
Crunch	Has a ~20% chance to lower the target's Special Defense by 1 stage.	Dark	15	80	100%
Curse	When used by a Ghost-type, the user sacrifices half of its max HP to sap the target by 1/4 of its max HP per turn. When used by anything else, the user's Speed is decreased by 1 stage and its Attack and Defense are increased by 1 stage.	???	10	N/A	N/A
Cut	Damages the target.	Normal	30	50	95%
Defense Curl	Raises the user's Defense by 1 stage; after one use of this move, the user's starting base power is doubled for every use of Rollout.	Normal	40	N/A	N/A
Destiny Bond	Causes an opponent to faint if its next attack KOs the user.	Ghost	5	N/A	N/A
Detect	Almost always goes first. The user is protected from all attacks for one turn, but the move's success rate halves with each consecutive use of Protect, Detect or Endure.	Fighting	5	N/A	N/A
Dig	On the first turn, the user digs underground, becoming uncontrollable, and evades all attacks. Earthquake, Magnitude and Fissure can hit underground, with Earthquake and Magnitude having doubled power; the user may also be hit underground if it was previously targeted by Lock-On or Mind Reader. On the second turn, the user attacks.	Ground	10	60	100%
Disable	The target cannot choose its last move for 2-5 turns. Disable only works on one move at a time and fails if the target has not yet used a move or if its move has run out of PP. The target does nothing if it is about to use a move that becomes disabled.	Normal	20	N/A	55%
Dizzy Punch	Has a ~20% chance to confuse the target.	Normal	10	70	100%
Double Kick	Strikes twice; if the first hit breaks the target's Substitute, the real Pokemon will take damage from the second hit.	Fighting	30	30	100%
Double Team	Raises the user's Evasion by 1 stage.	Normal	15	N/A	N/A
Double-edge	The user receives 1/4 recoil damage.	Normal	15	120	100%
Doubleslap	Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute, the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice, a 3/8 chance to hit three times, a 1/8 chance to hit four times and a 1/8 chance to hit five times.	Normal	10	15	85%
Dragon Rage	Always deals 40 points of damage.	Dragon	10	Set	100%
Dragonbreath	Has a ~30% chance to paralyze the target.	Dragon	20	60	100%
Dream Eater	Restores the user's HP by 1/2 of the damage inflicted on the target but only works on a sleeping target.	Psychic	15	100	100%
Drill Peck	Damages the target.	Flying	20	80	100%
Dynamicpunch	Confuses the target.	Fighting	5	100	50%
Earthquake	Power doubles when performed against Pokemon using Dig.	Ground	10	100	100%
Egg Bomb	Damages the target.	Normal	10	100	75%
Ember	Has a ~10% chance to burn the target.	Fire	25	40	100%
Encore	The target is forced to use its last attack for the next 2-6 turns. The effects of this move will end immediately if the target runs out of PP for the repeated attack.	Normal	5	N/A	100%
Endure	Almost always goes first. The user is left with at least 1 HP following any attacks for one turn, but the move's success rate halves with each consecutive use of Protect, Detect or Endure.	Normal	10	N/A	N/A
Explosion	The Defense stat of other Pokemon is halved against this attack, essentially doubling the move's base power; causes the user to faint.	Normal	5	250	100%
